DATETIME,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_D89A,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-29T19:41:00-05:00,11.0,3.0,33.0,9.0,3.0,19.0,3.0,1.0,2.0,2.0,1.0,5.0,,,5.0,1.0,8.0,3.0
2023-05-29T19:41:30-05:00,11.0,3.0,26.0,10.0,3.0,59.0,3.0,2.0,4.0,3.0,2.0,5.0,,,5.0,1.0,7.0,3.0
2023-05-29T19:42:00-05:00,11.0,3.0,25.0,10.0,3.0,59.0,3.0,2.0,4.0,5.0,2.0,5.0,,,5.0,2.0,7.0,3.0
2023-05-29T19:42:30-05:00,11.0,3.0,26.0,9.0,2.0,35.0,3.0,2.0,2.0,7.0,2.0,5.0,,,4.0,0.0,6.0,3.0
2023-05-29T19:43:00-05:00,10.0,4.0,22.0,9.0,3.0,35.0,3.0,2.0,1.0,5.0,2.0,5.0,,,5.0,1.0,6.0,3.0
2023-05-29T19:43:30-05:00,10.0,3.0,24.0,10.0,4.0,30.0,2.0,2.0,2.0,9.0,2.0,5.0,,,5.0,2.0,5.0,3.0
2023-05-29T19:44:00-05:00,10.0,3.0,21.0,8.0,4.0,28.0,3.0,2.0,2.0,6.0,2.0,5.0,,,5.0,1.0,6.0,3.0
2023-05-29T19:44:30-05:00,10.0,3.0,23.0,8.0,4.0,23.0,3.0,2.0,2.0,8.0,1.0,5.0,,,4.0,1.0,6.0,3.0
2023-05-29T19:45:00-05:00,11.0,3.0,23.0,8.0,4.0,24.0,3.0,2.0,2.0,16.0,2.0,5.0,,6.0,5.0,1.0,8.0,3.0
2023-05-29T19:45:30-05:00,11.0,4.0,23.0,8.0,5.0,20.0,2.0,2.0,2.0,22.0,2.0,5.0,,6.0,4.0,1.0,7.0,3.0
2023-05-29T19:46:00-05:00,11.0,4.0,21.0,7.0,5.0,20.0,2.0,1.0,4.0,14.0,2.0,6.0,,5.0,5.0,1.0,5.0,3.0
2023-05-29T19:46:30-05:00,10.0,4.0,16.0,7.0,5.0,19.0,3.0,1.0,3.0,10.0,2.0,5.0,,4.0,4.0,1.0,4.0,3.0
2023-05-29T19:47:00-05:00,9.0,4.0,14.0,8.0,6.0,16.0,2.0,2.0,3.0,12.0,7.0,5.0,,4.0,4.0,1.0,5.0,3.0
2023-05-29T19:47:30-05:00,9.0,5.0,13.0,7.0,6.0,16.0,2.0,2.0,3.0,11.0,4.0,5.0,,4.0,4.0,0.0,5.0,3.0
2023-05-29T19:48:00-05:00,10.0,5.0,11.0,7.0,6.0,16.0,3.0,2.0,3.0,8.0,3.0,5.0,,4.0,4.0,1.0,5.0,3.0
2023-05-29T19:48:30-05:00,10.0,6.0,10.0,7.0,5.0,15.0,3.0,1.0,3.0,8.0,2.0,5.0,,5.0,4.0,1.0,6.0,3.0
2023-05-29T19:49:00-05:00,9.0,6.0,7.0,7.0,6.0,12.0,3.0,1.0,3.0,8.0,2.0,5.0,,4.0,4.0,1.0,4.0,3.0
2023-05-29T19:49:30-05:00,10.0,6.0,8.0,6.0,7.0,11.0,3.0,1.0,2.0,3.0,2.0,5.0,,4.0,4.0,1.0,4.0,3.0
2023-05-29T19:50:00-05:00,9.0,5.0,7.0,7.0,6.0,13.0,4.0,1.0,3.0,3.0,2.0,5.0,,4.0,4.0,1.0,5.0,3.0
2023-05-29T19:50:30-05:00,10.0,5.0,8.0,7.0,6.0,13.0,4.0,1.0,3.0,3.0,2.0,5.0,,4.0,4.0,1.0,4.0,3.0
2023-05-29T19:51:00-05:00,9.0,5.0,7.0,8.0,6.0,12.0,5.0,2.0,4.0,4.0,2.0,5.0,,4.0,5.0,0.0,4.0,3.0
2023-05-29T19:51:30-05:00,9.0,5.0,7.0,8.0,5.0,11.0,5.0,2.0,3.0,5.0,2.0,5.0,,4.0,4.0,2.0,5.0,3.0
2023-05-29T19:52:00-05:00,9.0,5.0,5.0,7.0,5.0,11.0,5.0,2.0,3.0,3.0,2.0,5.0,,4.0,5.0,1.0,5.0,3.0
2023-05-29T19:52:30-05:00,9.0,5.0,6.0,7.0,6.0,10.0,5.0,2.0,3.0,3.0,2.0,5.0,,4.0,4.0,1.0,5.0,3.0
2023-05-29T19:53:00-05:00,9.0,5.0,6.0,8.0,7.0,12.0,4.0,2.0,3.0,3.0,2.0,5.0,,4.0,5.0,1.0,4.0,3.0
2023-05-29T19:53:30-05:00,9.0,4.0,6.0,7.0,6.0,17.0,5.0,2.0,3.0,2.0,2.0,5.0,,6.0,5.0,1.0,4.0,4.0
2023-05-29T19:54:00-05:00,8.0,4.0,6.0,,6.0,19.0,6.0,2.0,3.0,2.0,2.0,5.0,,4.0,4.0,1.0,5.0,3.0
2023-05-29T19:54:30-05:00,8.0,4.0,6.0,,7.0,23.0,4.0,1.0,2.0,2.0,2.0,5.0,,3.0,5.0,2.0,5.0,4.0
2023-05-29T19:55:00-05:00,9.0,5.0,6.0,,6.0,23.0,4.0,2.0,2.0,2.0,2.0,5.0,,3.0,5.0,1.0,5.0,4.0
2023-05-29T19:55:30-05:00,9.0,4.0,6.0,,7.0,24.0,5.0,2.0,2.0,2.0,2.0,5.0,,3.0,4.0,2.0,6.0,3.0
2023-05-29T19:56:00-05:00,9.0,4.0,7.0,,6.0,23.0,7.0,2.0,2.0,2.0,2.0,5.0,,3.0,4.0,1.0,6.0,4.0
2023-05-29T19:56:30-05:00,10.0,4.0,6.0,,7.0,21.0,5.0,2.0,2.0,2.0,2.0,5.0,,3.0,5.0,0.0,6.0,4.0
2023-05-29T19:57:00-05:00,9.0,4.0,6.0,,6.0,15.0,4.0,2.0,2.0,2.0,2.0,5.0,,3.0,5.0,0.0,6.0,5.0
2023-05-29T19:57:30-05:00,9.0,4.0,8.0,,6.0,13.0,5.0,2.0,2.0,2.0,2.0,5.0,,3.0,5.0,1.0,6.0,4.0
2023-05-29T19:58:00-05:00,8.0,5.0,10.0,,5.0,11.0,5.0,2.0,2.0,2.0,2.0,6.0,,3.0,4.0,2.0,7.0,4.0
2023-05-29T19:58:30-05:00,8.0,5.0,10.0,,6.0,11.0,5.0,2.0,2.0,2.0,2.0,5.0,,3.0,4.0,1.0,6.0,4.0
2023-05-29T20:00:00-05:00,9.0,,,,,,,,,,,5.0,,3.0,,,6.0,
2023-05-29T20:01:00-05:00,7.0,7.0,7.0,6.0,4.0,8.0,3.0,1.0,2.0,2.0,2.0,5.0,,3.0,7.0,3.0,6.0,
2023-05-29T20:01:30-05:00,7.0,5.0,7.0,5.0,4.0,8.0,4.0,1.0,2.0,2.0,2.0,5.0,,3.0,6.0,4.0,6.0,4.0
2023-05-29T20:02:00-05:00,8.0,4.0,9.0,5.0,5.0,8.0,5.0,1.0,2.0,3.0,2.0,5.0,,4.0,7.0,4.0,6.0,4.0
2023-05-29T20:02:30-05:00,8.0,5.0,9.0,6.0,6.0,7.0,4.0,2.0,2.0,2.0,2.0,5.0,,3.0,7.0,3.0,6.0,4.0
2023-05-29T20:03:00-05:00,8.0,5.0,8.0,6.0,6.0,6.0,4.0,1.0,2.0,2.0,2.0,5.0,,3.0,5.0,4.0,6.0,4.0
2023-05-29T20:03:30-05:00,8.0,4.0,16.0,6.0,6.0,7.0,4.0,2.0,2.0,2.0,1.0,6.0,,3.0,5.0,5.0,6.0,4.0
2023-05-29T20:04:00-05:00,8.0,5.0,9.0,5.0,5.0,7.0,4.0,1.0,2.0,2.0,1.0,6.0,,3.0,5.0,4.0,6.0,4.0
2023-05-29T20:04:30-05:00,7.0,5.0,8.0,6.0,5.0,6.0,4.0,1.0,2.0,3.0,2.0,5.0,,3.0,5.0,3.0,5.0,4.0
2023-05-29T20:05:00-05:00,8.0,5.0,7.0,6.0,4.0,6.0,4.0,2.0,2.0,7.0,2.0,5.0,,3.0,5.0,4.0,4.0,4.0
2023-05-29T20:05:30-05:00,8.0,5.0,6.0,6.0,5.0,7.0,4.0,1.0,2.0,4.0,2.0,5.0,,3.0,6.0,4.0,6.0,
2023-05-29T20:06:00-05:00,7.0,4.0,7.0,6.0,5.0,7.0,4.0,1.0,2.0,3.0,2.0,5.0,,3.0,5.0,6.0,5.0,4.0
2023-05-29T20:06:30-05:00,8.0,4.0,7.0,7.0,6.0,6.0,4.0,1.0,2.0,2.0,2.0,5.0,,3.0,9.0,6.0,5.0,4.0
2023-05-29T20:07:00-05:00,8.0,4.0,8.0,6.0,6.0,6.0,3.0,1.0,2.0,2.0,2.0,5.0,,3.0,12.0,7.0,6.0,4.0
2023-05-29T20:07:30-05:00,7.0,5.0,8.0,6.0,6.0,6.0,3.0,2.0,2.0,2.0,2.0,5.0,,3.0,13.0,3.0,5.0,4.0
2023-05-29T20:08:00-05:00,7.0,5.0,7.0,5.0,6.0,7.0,3.0,2.0,1.0,2.0,2.0,5.0,,3.0,24.0,4.0,5.0,3.0
2023-05-29T20:08:30-05:00,8.0,4.0,7.0,6.0,7.0,6.0,3.0,2.0,2.0,2.0,2.0,5.0,,3.0,48.0,6.0,4.0,3.0
2023-05-29T20:09:00-05:00,9.0,4.0,7.0,6.0,7.0,7.0,4.0,2.0,2.0,2.0,2.0,5.0,,3.0,61.0,4.0,5.0,3.0
2023-05-29T20:09:30-05:00,8.0,4.0,11.0,6.0,8.0,8.0,4.0,2.0,2.0,2.0,46.0,6.0,,3.0,214.0,4.0,5.0,3.0
2023-05-29T20:10:00-05:00,8.0,4.0,10.0,6.0,9.0,8.0,3.0,2.0,3.0,2.0,20.0,5.0,,4.0,152.0,6.0,5.0,3.0
2023-05-29T20:10:30-05:00,8.0,4.0,8.0,6.0,8.0,7.0,3.0,2.0,3.0,2.0,13.0,5.0,,4.0,162.0,5.0,5.0,3.0
2023-05-29T20:11:00-05:00,8.0,4.0,7.0,5.0,6.0,7.0,3.0,2.0,3.0,2.0,9.0,5.0,,3.0,182.0,5.0,5.0,3.0
2023-05-29T20:11:30-05:00,8.0,4.0,9.0,6.0,6.0,6.0,3.0,1.0,4.0,2.0,5.0,4.0,,3.0,147.0,5.0,5.0,3.0
2023-05-29T20:12:00-05:00,8.0,5.0,7.0,6.0,6.0,7.0,4.0,2.0,4.0,2.0,5.0,5.0,,3.0,155.0,5.0,5.0,3.0
2023-05-29T20:12:30-05:00,8.0,4.0,6.0,5.0,7.0,6.0,4.0,2.0,4.0,2.0,4.0,5.0,,3.0,165.0,6.0,5.0,3.0
2023-05-29T20:13:00-05:00,7.0,4.0,6.0,6.0,5.0,6.0,3.0,2.0,3.0,2.0,5.0,5.0,,4.0,207.0,7.0,6.0,2.0
2023-05-29T20:13:30-05:00,9.0,4.0,5.0,6.0,7.0,7.0,4.0,2.0,2.0,2.0,3.0,6.0,,3.0,177.0,8.0,5.0,3.0
2023-05-29T20:14:00-05:00,8.0,5.0,5.0,6.0,7.0,6.0,3.0,2.0,3.0,2.0,2.0,6.0,,3.0,150.0,7.0,5.0,3.0
2023-05-29T20:14:30-05:00,8.0,5.0,5.0,5.0,7.0,6.0,4.0,2.0,3.0,7.0,2.0,6.0,,3.0,155.0,6.0,5.0,3.0
2023-05-29T20:15:00-05:00,7.0,4.0,5.0,5.0,6.0,6.0,5.0,2.0,3.0,3.0,2.0,5.0,,4.0,131.0,6.0,5.0,3.0
2023-05-29T20:15:30-05:00,7.0,5.0,5.0,5.0,6.0,7.0,5.0,2.0,3.0,2.0,3.0,5.0,,3.0,72.0,6.0,5.0,3.0
2023-05-29T20:16:00-05:00,7.0,5.0,5.0,5.0,6.0,6.0,5.0,2.0,3.0,2.0,3.0,5.0,,3.0,77.0,7.0,5.0,3.0
2023-05-29T20:16:30-05:00,8.0,4.0,4.0,5.0,6.0,6.0,4.0,2.0,4.0,2.0,2.0,5.0,,3.0,59.0,6.0,4.0,3.0
2023-05-29T20:17:00-05:00,7.0,5.0,4.0,5.0,7.0,6.0,4.0,2.0,3.0,2.0,3.0,5.0,,3.0,27.0,8.0,4.0,3.0
2023-05-29T20:17:30-05:00,8.0,5.0,4.0,5.0,8.0,6.0,4.0,2.0,3.0,2.0,2.0,5.0,,3.0,19.0,7.0,5.0,3.0
2023-05-29T20:18:00-05:00,8.0,5.0,5.0,5.0,7.0,5.0,4.0,2.0,4.0,2.0,3.0,5.0,,3.0,21.0,3.0,5.0,3.0
2023-05-29T20:18:30-05:00,7.0,5.0,5.0,5.0,5.0,6.0,4.0,2.0,4.0,2.0,2.0,6.0,,3.0,19.0,3.0,4.0,3.0
2023-05-29T20:19:00-05:00,8.0,5.0,5.0,5.0,5.0,6.0,3.0,2.0,3.0,2.0,3.0,6.0,,3.0,20.0,2.0,5.0,2.0
2023-05-29T20:19:30-05:00,8.0,4.0,4.0,5.0,6.0,5.0,3.0,2.0,3.0,2.0,2.0,7.0,,3.0,22.0,1.0,5.0,3.0
2023-05-29T20:20:00-05:00,7.0,4.0,3.0,5.0,5.0,5.0,3.0,2.0,5.0,3.0,2.0,7.0,,3.0,24.0,3.0,4.0,3.0
2023-05-29T20:20:30-05:00,8.0,5.0,4.0,5.0,5.0,6.0,4.0,2.0,3.0,3.0,2.0,8.0,,4.0,23.0,4.0,4.0,2.0
2023-05-29T20:21:00-05:00,8.0,5.0,3.0,4.0,7.0,6.0,3.0,2.0,3.0,2.0,2.0,8.0,,3.0,23.0,3.0,4.0,3.0
2023-05-29T20:21:30-05:00,8.0,5.0,4.0,5.0,6.0,6.0,3.0,2.0,3.0,2.0,2.0,9.0,,3.0,22.0,3.0,4.0,3.0
2023-05-29T20:22:00-05:00,7.0,6.0,4.0,6.0,6.0,6.0,3.0,2.0,4.0,2.0,3.0,7.0,,3.0,21.0,2.0,4.0,3.0
2023-05-29T20:22:30-05:00,7.0,6.0,4.0,5.0,6.0,5.0,4.0,2.0,3.0,4.0,3.0,8.0,,3.0,22.0,3.0,4.0,3.0
2023-05-29T20:23:00-05:00,7.0,5.0,4.0,5.0,6.0,6.0,3.0,2.0,2.0,3.0,2.0,8.0,,3.0,24.0,5.0,4.0,
2023-05-29T20:23:30-05:00,8.0,6.0,4.0,5.0,7.0,5.0,4.0,2.0,3.0,3.0,2.0,8.0,,3.0,23.0,5.0,6.0,2.0
2023-05-29T20:24:00-05:00,7.0,6.0,3.0,5.0,6.0,5.0,3.0,2.0,2.0,2.0,2.0,8.0,,3.0,23.0,2.0,5.0,2.0
2023-05-29T20:24:30-05:00,7.0,6.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,2.0,2.0,9.0,,3.0,23.0,4.0,5.0,2.0
2023-05-29T20:25:00-05:00,7.0,6.0,4.0,4.0,6.0,5.0,3.0,2.0,3.0,2.0,4.0,9.0,,3.0,23.0,4.0,5.0,3.0
2023-05-29T20:25:30-05:00,6.0,6.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,2.0,2.0,10.0,,3.0,24.0,3.0,4.0,3.0
2023-05-29T20:26:00-05:00,8.0,5.0,3.0,4.0,4.0,5.0,3.0,1.0,3.0,3.0,2.0,9.0,,3.0,25.0,3.0,4.0,3.0
2023-05-29T20:26:30-05:00,8.0,5.0,4.0,5.0,4.0,5.0,3.0,2.0,2.0,5.0,2.0,10.0,,2.0,24.0,4.0,5.0,3.0
2023-05-29T20:27:00-05:00,7.0,5.0,6.0,4.0,4.0,5.0,3.0,2.0,2.0,4.0,3.0,10.0,,3.0,25.0,2.0,4.0,4.0
2023-05-29T20:27:30-05:00,8.0,5.0,5.0,4.0,3.0,5.0,3.0,2.0,3.0,2.0,2.0,10.0,,3.0,27.0,4.0,4.0,10.0
2023-05-29T20:28:00-05:00,7.0,5.0,7.0,5.0,3.0,5.0,4.0,2.0,3.0,3.0,2.0,10.0,,3.0,31.0,2.0,5.0,14.0
2023-05-29T20:28:30-05:00,6.0,5.0,8.0,4.0,3.0,5.0,4.0,2.0,3.0,3.0,2.0,10.0,,3.0,37.0,2.0,4.0,11.0
2023-05-29T20:29:00-05:00,6.0,5.0,7.0,4.0,3.0,6.0,3.0,2.0,3.0,2.0,2.0,9.0,,3.0,39.0,3.0,4.0,10.0
2023-05-29T20:29:30-05:00,7.0,5.0,7.0,4.0,6.0,5.0,4.0,2.0,3.0,2.0,2.0,9.0,,3.0,39.0,2.0,4.0,11.0
2023-05-29T20:30:00-05:00,7.0,5.0,6.0,4.0,5.0,5.0,5.0,2.0,3.0,2.0,2.0,10.0,,3.0,37.0,3.0,5.0,9.0
2023-05-29T20:30:30-05:00,7.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,5.0,2.0,2.0,9.0,,3.0,35.0,2.0,4.0,7.0
2023-05-29T20:31:00-05:00,8.0,5.0,7.0,3.0,4.0,5.0,5.0,2.0,4.0,2.0,3.0,10.0,,3.0,32.0,3.0,4.0,5.0
2023-05-29T20:31:30-05:00,14.0,5.0,6.0,3.0,4.0,5.0,6.0,2.0,3.0,3.0,2.0,9.0,,3.0,32.0,3.0,5.0,5.0
2023-05-29T20:32:00-05:00,17.0,6.0,6.0,4.0,3.0,5.0,5.0,2.0,4.0,6.0,2.0,10.0,,4.0,31.0,3.0,4.0,4.0
2023-05-29T20:32:30-05:00,11.0,5.0,6.0,4.0,2.0,6.0,6.0,2.0,4.0,3.0,2.0,10.0,,3.0,31.0,3.0,4.0,4.0
2023-05-29T20:33:00-05:00,8.0,5.0,6.0,4.0,2.0,5.0,6.0,3.0,4.0,3.0,2.0,11.0,,4.0,32.0,3.0,4.0,4.0
2023-05-29T20:33:30-05:00,8.0,5.0,6.0,4.0,2.0,5.0,5.0,3.0,4.0,2.0,2.0,10.0,,4.0,40.0,2.0,4.0,3.0
2023-05-29T20:34:00-05:00,7.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,3.0,,2.0,10.0,,3.0,44.0,3.0,5.0,4.0
2023-05-29T20:34:30-05:00,7.0,5.0,5.0,4.0,2.0,5.0,5.0,2.0,3.0,2.0,2.0,11.0,,4.0,47.0,2.0,5.0,3.0
2023-05-29T20:35:00-05:00,6.0,5.0,5.0,3.0,2.0,5.0,5.0,2.0,3.0,2.0,2.0,10.0,,3.0,52.0,5.0,4.0,3.0
2023-05-29T20:35:30-05:00,11.0,4.0,5.0,4.0,3.0,5.0,6.0,3.0,4.0,2.0,2.0,9.0,,3.0,46.0,3.0,4.0,4.0
2023-05-29T20:36:00-05:00,8.0,4.0,4.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,9.0,,3.0,47.0,3.0,5.0,4.0
2023-05-29T20:36:30-05:00,8.0,4.0,4.0,4.0,2.0,4.0,5.0,2.0,3.0,4.0,2.0,11.0,,4.0,49.0,2.0,5.0,4.0
2023-05-29T20:37:00-05:00,7.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,6.0,2.0,10.0,,3.0,49.0,3.0,4.0,3.0
2023-05-29T20:37:30-05:00,7.0,4.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,4.0,2.0,10.0,,3.0,52.0,4.0,5.0,4.0
2023-05-29T20:38:00-05:00,7.0,4.0,5.0,3.0,2.0,5.0,4.0,2.0,3.0,3.0,2.0,9.0,,4.0,45.0,2.0,5.0,3.0
2023-05-29T20:38:30-05:00,6.0,5.0,5.0,3.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,10.0,,3.0,37.0,3.0,5.0,3.0
2023-05-29T20:39:00-05:00,8.0,4.0,4.0,3.0,3.0,5.0,4.0,2.0,3.0,2.0,2.0,10.0,,3.0,35.0,3.0,4.0,4.0
2023-05-29T20:39:30-05:00,7.0,4.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,2.0,9.0,,4.0,31.0,3.0,6.0,3.0
2023-05-29T20:40:00-05:00,7.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,3.0,2.0,3.0,9.0,,3.0,48.0,2.0,5.0,3.0
2023-05-29T20:40:30-05:00,7.0,4.0,5.0,4.0,3.0,4.0,5.0,2.0,3.0,2.0,3.0,11.0,,3.0,48.0,3.0,5.0,3.0
2023-05-29T20:41:00-05:00,6.0,3.0,5.0,3.0,3.0,5.0,5.0,2.0,3.0,2.0,2.0,11.0,,3.0,38.0,2.0,,3.0
2023-05-29T20:41:30-05:00,6.0,4.0,6.0,3.0,3.0,5.0,4.0,2.0,3.0,2.0,2.0,10.0,,3.0,37.0,3.0,4.0,3.0
2023-05-29T20:42:00-05:00,6.0,3.0,6.0,3.0,2.0,5.0,5.0,2.0,3.0,2.0,2.0,10.0,,3.0,39.0,2.0,5.0,3.0
2023-05-29T20:42:30-05:00,6.0,3.0,6.0,3.0,2.0,5.0,6.0,2.0,4.0,2.0,2.0,11.0,,3.0,32.0,1.0,5.0,3.0
2023-05-29T20:43:00-05:00,5.0,3.0,7.0,4.0,2.0,4.0,5.0,2.0,3.0,2.0,2.0,11.0,,3.0,29.0,1.0,5.0,3.0
2023-05-29T20:43:30-05:00,6.0,4.0,7.0,4.0,2.0,5.0,5.0,2.0,3.0,2.0,1.0,11.0,,3.0,30.0,2.0,5.0,3.0
2023-05-29T20:44:00-05:00,6.0,3.0,7.0,3.0,2.0,4.0,5.0,2.0,3.0,2.0,2.0,11.0,,3.0,28.0,2.0,5.0,3.0
2023-05-29T20:44:30-05:00,6.0,3.0,7.0,4.0,2.0,5.0,5.0,2.0,3.0,2.0,3.0,12.0,,4.0,20.0,2.0,5.0,3.0
2023-05-29T20:45:00-05:00,6.0,3.0,6.0,4.0,3.0,4.0,6.0,2.0,3.0,2.0,2.0,13.0,,3.0,12.0,2.0,5.0,3.0
2023-05-29T20:45:30-05:00,6.0,4.0,6.0,3.0,2.0,4.0,5.0,2.0,3.0,2.0,2.0,12.0,,3.0,12.0,1.0,5.0,3.0
2023-05-29T20:46:00-05:00,6.0,3.0,7.0,3.0,2.0,4.0,6.0,2.0,3.0,2.0,2.0,11.0,,3.0,14.0,2.0,5.0,3.0
2023-05-29T20:46:30-05:00,6.0,3.0,8.0,4.0,2.0,5.0,5.0,3.0,3.0,2.0,3.0,12.0,,3.0,14.0,3.0,5.0,3.0
2023-05-29T20:47:00-05:00,6.0,3.0,6.0,4.0,2.0,4.0,6.0,2.0,3.0,2.0,3.0,13.0,,3.0,14.0,3.0,,3.0
2023-05-29T20:47:30-05:00,6.0,4.0,6.0,4.0,2.0,5.0,6.0,2.0,4.0,2.0,2.0,13.0,,3.0,14.0,3.0,5.0,5.0
2023-05-29T20:48:00-05:00,6.0,3.0,6.0,3.0,2.0,5.0,6.0,2.0,6.0,2.0,2.0,13.0,,3.0,14.0,2.0,5.0,4.0
2023-05-29T20:48:30-05:00,7.0,3.0,6.0,4.0,3.0,5.0,6.0,2.0,5.0,2.0,2.0,14.0,,3.0,16.0,1.0,6.0,5.0
2023-05-29T20:49:00-05:00,6.0,2.0,7.0,4.0,2.0,5.0,7.0,2.0,6.0,2.0,2.0,14.0,,3.0,13.0,1.0,6.0,7.0
2023-05-29T20:49:30-05:00,7.0,3.0,7.0,4.0,2.0,5.0,7.0,2.0,5.0,2.0,3.0,13.0,,3.0,10.0,1.0,5.0,6.0
2023-05-29T20:50:00-05:00,6.0,3.0,7.0,4.0,2.0,5.0,6.0,2.0,6.0,2.0,2.0,14.0,,3.0,12.0,1.0,5.0,6.0
2023-05-29T20:50:30-05:00,7.0,3.0,6.0,4.0,2.0,5.0,6.0,2.0,6.0,2.0,2.0,14.0,,3.0,12.0,2.0,6.0,7.0
2023-05-29T20:51:00-05:00,8.0,2.0,6.0,4.0,2.0,5.0,6.0,2.0,7.0,2.0,2.0,14.0,,3.0,11.0,1.0,5.0,7.0
2023-05-29T20:51:30-05:00,7.0,3.0,7.0,4.0,2.0,5.0,6.0,2.0,7.0,2.0,2.0,13.0,,3.0,11.0,2.0,5.0,7.0
2023-05-29T20:52:00-05:00,6.0,3.0,6.0,5.0,2.0,5.0,6.0,2.0,7.0,2.0,2.0,14.0,,3.0,11.0,2.0,5.0,7.0
2023-05-29T20:52:30-05:00,7.0,3.0,6.0,5.0,2.0,5.0,6.0,2.0,6.0,2.0,2.0,13.0,,3.0,10.0,3.0,6.0,7.0
2023-05-29T20:53:00-05:00,8.0,2.0,5.0,5.0,3.0,5.0,6.0,2.0,6.0,2.0,2.0,13.0,,3.0,9.0,1.0,5.0,7.0
2023-05-29T20:53:30-05:00,7.0,2.0,5.0,5.0,4.0,5.0,6.0,2.0,6.0,2.0,2.0,13.0,,3.0,9.0,3.0,6.0,8.0
2023-05-29T20:54:00-05:00,7.0,4.0,5.0,5.0,3.0,6.0,6.0,2.0,6.0,2.0,2.0,14.0,,3.0,8.0,3.0,6.0,8.0
2023-05-29T20:54:30-05:00,6.0,3.0,6.0,5.0,2.0,7.0,6.0,2.0,6.0,2.0,2.0,13.0,,3.0,9.0,2.0,6.0,8.0
2023-05-29T20:55:00-05:00,7.0,3.0,5.0,5.0,4.0,8.0,6.0,2.0,6.0,2.0,2.0,14.0,,3.0,10.0,2.0,,8.0
2023-05-29T20:55:30-05:00,6.0,2.0,5.0,5.0,3.0,8.0,7.0,2.0,6.0,2.0,2.0,14.0,,3.0,10.0,2.0,6.0,7.0
2023-05-29T20:56:00-05:00,6.0,2.0,6.0,5.0,2.0,8.0,6.0,2.0,6.0,2.0,2.0,13.0,,3.0,10.0,2.0,6.0,8.0
2023-05-29T20:56:30-05:00,6.0,3.0,5.0,6.0,2.0,8.0,7.0,2.0,6.0,2.0,2.0,13.0,,3.0,11.0,2.0,6.0,9.0
2023-05-29T20:57:00-05:00,7.0,2.0,5.0,6.0,3.0,8.0,6.0,1.0,6.0,2.0,2.0,12.0,,3.0,12.0,3.0,6.0,9.0
2023-05-29T20:57:30-05:00,7.0,3.0,5.0,6.0,2.0,8.0,6.0,2.0,6.0,,2.0,13.0,,3.0,12.0,3.0,5.0,8.0
2023-05-29T20:58:00-05:00,7.0,3.0,4.0,6.0,2.0,8.0,7.0,2.0,6.0,2.0,2.0,13.0,,2.0,13.0,4.0,7.0,9.0
2023-05-29T20:58:30-05:00,7.0,2.0,4.0,6.0,2.0,8.0,7.0,2.0,5.0,2.0,2.0,12.0,,3.0,13.0,2.0,7.0,9.0
2023-05-29T20:59:00-05:00,7.0,3.0,5.0,6.0,3.0,8.0,9.0,2.0,6.0,2.0,2.0,12.0,,3.0,11.0,4.0,8.0,9.0
2023-05-29T20:59:30-05:00,7.0,3.0,5.0,6.0,3.0,7.0,9.0,1.0,6.0,2.0,1.0,11.0,,3.0,11.0,2.0,9.0,8.0
2023-05-29T21:00:00-05:00,7.0,3.0,4.0,7.0,4.0,8.0,10.0,2.0,6.0,2.0,2.0,11.0,,3.0,11.0,3.0,10.0,8.0
2023-05-29T21:00:30-05:00,7.0,3.0,4.0,8.0,4.0,8.0,9.0,2.0,5.0,2.0,3.0,11.0,,2.0,11.0,2.0,9.0,9.0
2023-05-29T21:01:00-05:00,7.0,3.0,4.0,7.0,4.0,8.0,9.0,2.0,5.0,1.0,2.0,10.0,,3.0,10.0,2.0,9.0,8.0
2023-05-29T21:01:30-05:00,7.0,3.0,4.0,6.0,5.0,8.0,10.0,2.0,5.0,2.0,2.0,10.0,,3.0,9.0,2.0,8.0,9.0
2023-05-29T21:02:00-05:00,8.0,3.0,3.0,8.0,6.0,9.0,11.0,2.0,5.0,1.0,2.0,12.0,,3.0,10.0,2.0,8.0,9.0
2023-05-29T21:02:30-05:00,7.0,3.0,4.0,8.0,5.0,8.0,14.0,1.0,5.0,2.0,2.0,12.0,,3.0,10.0,2.0,8.0,9.0
2023-05-29T21:03:00-05:00,7.0,3.0,4.0,8.0,5.0,8.0,14.0,2.0,6.0,1.0,2.0,11.0,,2.0,10.0,2.0,8.0,9.0
